0;3;N;X;1;A00;A00.-;A00;A00;Choléra;Choléra;;;1;9;9;9999;9999;9;J;J;
1;4;T;X;1;A00;A00.0;A00.0;A000;A Vibrio cholerae 01, biovar cholerae;Choléra;A Vibrio cholerae 01, biovar cholerae;;1;9;9;9999;9999;9;J;J;
2;4;T;X;1;A00;A00.1;A00.1;A001;A Vibrio cholerae 01, biovar El Tor;Choléra;A Vibrio cholerae 01, biovar El Tor;;1;9;9;9999;9999;9;J;J;
3;4;T;X;1;A00;A00.9;A00.9;A009;Choléra, sans précision;Choléra;Choléra, sans précision;;1;9;9;9999;9999;9;J;J;
4;3;N;X;1;A00;A01.-;A01;A01;Fièvres typhoïde et paratyphoïde;Fièvres typhoïde et paratyphoïde;;;2;9;9;9999;9999;9;N;J;
5;4;T;X;1;A00;A01.0;A01.0;A010;Fièvre typhoïde;Fièvres typhoïde et paratyphoïde;Fièvre typhoïde;;2;9;9;9999;9999;9;N;J;
6;4;T;X;1;A00;A01.1;A01.1;A011;Paratyphoïde A;Fièvres typhoïde et paratyphoïde;Paratyphoïde A;;2;9;9;9999;9999;9;N;J;
7;4;T;X;1;A00;A01.2;A01.2;A012;Paratyphoïde B;Fièvres typhoïde et paratyphoïde;Paratyphoïde B;;2;9;9;9999;9999;9;N;J;
8;4;T;X;1;A00;A01.3;A01.3;A013;Paratyphoïde C;Fièvres typhoïde et paratyphoïde;Paratyphoïde C;;2;9;9;9999;9999;9;N;J;
9;4;T;X;1;A00;A01.4;A01.4;A014;Paratyphoïde, sans précision;Fièvres typhoïde et paratyphoïde;Paratyphoïde, sans précision;;2;9;9;9999;9999;9;N;J;
10;3;N;X;1;A00;A02.-;A02;A02;Autres infections à Salmonella;Autres infections à Salmonella;;;6;9;9;9999;9999;9;N;J;
11;4;T;X;1;A00;A02.0;A02.0;A020;Entérite à Salmonella;Autres infections à Salmonella;Entérite à Salmonella;;6;9;9;9999;9999;9;N;J;
12;4;T;X;1;A00;A02.1;A02.1;A021;Septicémie à Salmonella;Autres infections à Salmonella;Septicémie à Salmonella;;6;9;9;9999;9999;9;N;J;
13;4;T;X;1;A00;A02.2;A02.2;A022;Infection localisée à Salmonella;Autres infections à Salmonella;Infection localisée à Salmonella;;6;9;9;9999;9999;9;N;J;
14;4;T;X;1;A00;A02.8;A02.8;A028;Autres infections précisées à Salmonella;Autres infections à Salmonella;Autres infections précisées à Salmonella;;6;9;9;9999;9999;9;N;J;
15;4;T;X;1;A00;A02.9;A02.9;A029;Infection à Salmonella, sans précision;Autres infections à Salmonella;Infection à Salmonella, sans précision;;6;9;9;9999;9999;9;N;J;
16;3;N;X;1;A00;A03.-;A03;A03;Shigellose;Shigellose;;;3;9;9;9999;9999;9;N;J;
17;4;T;X;1;A00;A03.0;A03.0;A030;Shigellose à Shigella dysenteriae;Shigellose;Shigellose à Shigella dysenteriae;;3;9;9;9999;9999;9;N;J;
18;4;T;X;1;A00;A03.1;A03.1;A031;Shigellose à Shigella flexneri;Shigellose;Shigellose à Shigella flexneri;;3;9;9;9999;9999;9;N;J;
19;4;T;X;1;A00;A03.2;A03.2;A032;Shigellose à Shigella boydii;Shigellose;Shigellose à Shigella boydii;;3;9;9;9999;9999;9;N;J;
20;4;T;X;1;A00;A03.3;A03.3;A033;Shigellose à Shigella sonnei;Shigellose;Shigellose à Shigella sonnei;;3;9;9;9999;9999;9;N;J;
21;4;T;X;1;A00;A03.8;A03.8;A038;Autres shigelloses;Shigellose;Autres shigelloses;;3;9;9;9999;9999;9;N;J;
22;4;T;X;1;A00;A03.9;A03.9;A039;Shigellose, sans précision;Shigellose;Shigellose, sans précision;;3;9;9;9999;9999;9;N;J;
23;3;N;X;1;A00;A04.-;A04;A04;Autres infections intestinales bactériennes;Autres infections intestinales bactériennes;;;6;9;9;9999;9999;9;N;J;
24;4;T;X;1;A00;A04.0;A04.0;A040;Infection entéropathogène à Escherichia coli;Autres infections intestinales bactériennes;Infection entéropathogène à Escherichia coli;;6;9;9;9999;9999;9;N;J;
25;4;T;X;1;A00;A04.1;A04.1;A041;Infection entérotoxigène à Escherichia coli;Autres infections intestinales bactériennes;Infection entérotoxigène à Escherichia coli;;6;9;9;9999;9999;9;N;J;
26;4;T;X;1;A00;A04.2;A04.2;A042;Infection entéro-invasive à Escherichia coli;Autres infections intestinales bactériennes;Infection entéro-invasive à Escherichia coli;;6;9;9;9999;9999;9;N;J;
27;4;T;X;1;A00;A04.3;A04.3;A043;Infection entéro-hémorragique à Escherichia coli;Autres infections intestinales bactériennes;Infection entéro-hémorragique à Escherichia coli;;6;9;9;9999;9999;9;N;J;
28;4;T;X;1;A00;A04.4;A04.4;A044;Autres infections intestinales à Escherichia coli;Autres infections intestinales bactériennes;Autres infections intestinales à Escherichia coli;;6;9;9;9999;9999;9;N;J;
29;4;T;X;1;A00;A04.5;A04.5;A045;Entérite à Campylobacter;Autres infections intestinales bactériennes;Entérite à Campylobacter;;6;9;9;9999;9999;9;N;J;
30;4;T;X;1;A00;A04.6;A04.6;A046;Entérite à Yersinia enterocolitica;Autres infections intestinales bactériennes;Entérite à Yersinia enterocolitica;;6;9;9;9999;9999;9;N;J;
31;4;N;X;1;A00;A04.7-;A04.7;A047;Entérocolite à Clostridium difficile;Autres infections intestinales bactériennes;Entérocolite à Clostridium difficile;;6;9;9;9999;9999;9;N;J;
32;5;T;X;1;A00;A04.70;A04.70;A0470;Entérocolite à Clostridium difficile sans mégacôlon, sans autres complications au niveau des organes;Autres infections intestinales bactériennes;Entérocolite à Clostridium difficile;Entérocolite à Clostridium difficile sans mégacôlon, sans autres complications au niveau des organes;6;9;9;9999;9999;9;N;J;
33;5;T;X;1;A00;A04.71;A04.71;A0471;Entérocolite à Clostridium difficile sans mégacôlon, avec d’autres complications au niveau des organes;Autres infections intestinales bactériennes;Entérocolite à Clostridium difficile;Entérocolite à Clostridium difficile sans mégacôlon, avec d’autres complications au niveau des organes;6;9;9;9999;9999;9;N;J;
34;5;T;X;1;A00;A04.72;A04.72;A0472;Entérocolite à Clostridium difficile avec mégacôlon, sans autres complications organiques;Autres infections intestinales bactériennes;Entérocolite à Clostridium difficile;Entérocolite à Clostridium difficile avec mégacôlon, sans autres complications organiques;6;9;9;9999;9999;9;N;J;
35;5;T;X;1;A00;A04.73;A04.73;A0473;Entérocolite à Clostridium difficile avec mégacôlon, avec d’autres complications organiques;Autres infections intestinales bactériennes;Entérocolite à Clostridium difficile;Entérocolite à Clostridium difficile avec mégacôlon, avec d’autres complications organiques;6;9;9;9999;9999;9;N;J;
36;5;T;X;1;A00;A04.79;A04.79;A0479;Entérocolite à Clostridium difficile, sans précision;Autres infections intestinales bactériennes;Entérocolite à Clostridium difficile;Entérocolite à Clostridium difficile, sans précision;6;9;9;9999;9999;9;N;J;
37;4;T;X;1;A00;A04.8;A04.8;A048;Autres infections intestinales bactériennes précisées;Autres infections intestinales bactériennes;Autres infections intestinales bactériennes précisées;;6;9;9;9999;9999;9;N;J;
38;4;T;X;1;A00;A04.9;A04.9;A049;Infection intestinale bactérienne, sans précision;Autres infections intestinales bactériennes;Infection intestinale bactérienne, sans précision;;6;9;9;9999;9999;9;N;J;
39;3;N;X;1;A00;A05.-;A05;A05;Autres intoxications bactériennes d’origine alimentaire, non classées ailleurs;Autres intoxications bactériennes d’origine alimentaire, non classées ailleurs;;;6;9;9;9999;9999;9;N;J;
40;4;T;X;1;A00;A05.0;A05.0;A050;Intoxication alimentaire à staphylocoques;Autres intoxications bactériennes d’origine alimentaire, non classées ailleurs;Intoxication alimentaire à staphylocoques;;6;9;9;9999;9999;9;N;J;
41;4;T;X;1;A00;A05.1;A05.1;A051;Botulisme;Autres intoxications bactériennes d’origine alimentaire, non classées ailleurs;Botulisme;;6;9;9;9999;9999;9;N;J;
42;4;T;X;1;A00;A05.2;A05.2;A052;Intoxication alimentaire à Clostridium perfringens [Clostridium welchii];Autres intoxications bactériennes d’origine alimentaire, non classées ailleurs;Intoxication alimentaire à Clostridium perfringens [Clostridium welchii];;6;9;9;9999;9999;9;N;J;
43;4;T;X;1;A00;A05.3;A05.3;A053;Intoxication alimentaire à Vibrio parahaemolyticus;Autres intoxications bactériennes d’origine alimentaire, non classées ailleurs;Intoxication alimentaire à Vibrio parahaemolyticus;;6;9;9;9999;9999;9;N;J;
44;4;T;X;1;A00;A05.4;A05.4;A054;Intoxication alimentaire à Bacillus cereus;Autres intoxications bactériennes d’origine alimentaire, non classées ailleurs;Intoxication alimentaire à Bacillus cereus;;6;9;9;9999;9999;9;N;J;
45;4;T;X;1;A00;A05.8;A05.8;A058;Autres intoxications bactériennes d’origine alimentaire précisées;Autres intoxications bactériennes d’origine alimentaire, non classées ailleurs;Autres intoxications bactériennes d’origine alimentaire précisées;;6;9;9;9999;9999;9;N;J;
46;4;T;X;1;A00;A05.9;A05.9;A059;Intoxication bactérienne d’origine alimentaire, sans précision;Autres intoxications bactériennes d’origine alimentaire, non classées ailleurs;Intoxication bactérienne d’origine alimentaire, sans précision;;6;9;9;9999;9999;9;N;J;
47;3;N;X;1;A00;A06.-;A06;A06;Amibiase;Amibiase;;;4;9;9;9999;9999;9;N;J;
48;4;T;X;1;A00;A06.0;A06.0;A060;Dysenterie amibienne aiguë;Amibiase;Dysenterie amibienne aiguë;;4;9;9;9999;9999;9;N;J;
49;4;T;X;1;A00;A06.1;A06.1;A061;Amibiase intestinale chronique;Amibiase;Amibiase intestinale chronique;;4;9;9;9999;9999;9;N;J;
50;4;T;X;1;A00;A06.2;A06.2;A062;Colite amibienne non dysentérique;Amibiase;Colite amibienne non dysentérique;;4;9;9;9999;9999;9;N;J;
51;4;T;X;1;A00;A06.3;A06.3;A063;Amœbome de l’intestin;Amibiase;Amœbome de l’intestin;;4;9;9;9999;9999;9;N;J;
52;4;T;X;1;A00;A06.4;A06.4;A064;Abcès amibien du foie;Amibiase;Abcès amibien du foie;;4;9;9;9999;9999;9;N;J;
53;4;T;X;1;A00;A06.5;A06.5;A065;Abcès amibien du poumon;Amibiase;Abcès amibien du poumon;;4;9;9;9999;9999;9;N;J;
54;4;T;X;1;A00;A06.6;A06.6;A066;Abcès amibien du cerveau;Amibiase;Abcès amibien du cerveau;;4;9;9;9999;9999;9;N;J;
55;4;T;X;1;A00;A06.7;A06.7;A067;Amibiase cutanée;Amibiase;Amibiase cutanée;;4;9;9;9999;9999;9;N;J;
56;4;T;X;1;A00;A06.8;A06.8;A068;Autres localisations d’une infection amibienne;Amibiase;Autres localisations d’une infection amibienne;;4;9;9;9999;9999;9;N;J;
57;4;T;X;1;A00;A06.9;A06.9;A069;Amibiase, sans précision;Amibiase;Amibiase, sans précision;;4;9;9;9999;9999;9;N;J;
58;3;N;X;1;A00;A07.-;A07;A07;Autres maladies intestinales à protozoaires;Autres maladies intestinales à protozoaires;;;6;9;9;9999;9999;9;N;J;
59;4;T;X;1;A00;A07.0;A07.0;A070;Balantidiose;Autres maladies intestinales à protozoaires;Balantidiose;;6;9;9;9999;9999;9;N;J;
60;4;T;X;1;A00;A07.1;A07.1;A071;Giardiase [lambliase];Autres maladies intestinales à protozoaires;Giardiase [lambliase];;6;9;9;9999;9999;9;N;J;
61;4;T;X;1;A00;A07.2;A07.2;A072;Cryptosporidiose;Autres maladies intestinales à protozoaires;Cryptosporidiose;;6;9;9;9999;9999;9;N;J;
62;4;T;X;1;A00;A07.3;A07.3;A073;Infection à Isospora;Autres maladies intestinales à protozoaires;Infection à Isospora;;6;9;9;9999;9999;9;N;J;
63;4;T;X;1;A00;A07.8;A07.8;A078;Autres maladies intestinales précisées, à protozoaires;Autres maladies intestinales à protozoaires;Autres maladies intestinales précisées, à protozoaires;;6;9;9;9999;9999;9;N;J;
64;4;T;X;1;A00;A07.9;A07.9;A079;Maladie intestinale à protozoaires, sans précision;Autres maladies intestinales à protozoaires;Maladie intestinale à protozoaires, sans précision;;6;9;9;9999;9999;9;N;J;
65;3;N;X;1;A00;A08.-;A08;A08;Infections virales intestinales et autres infections intestinales précisées;Infections virales intestinales et autres infections intestinales précisées;;;6;9;9;9999;9999;9;N;J;
66;4;T;X;1;A00;A08.0;A08.0;A080;Entérite à rotavirus;Infections virales intestinales et autres infections intestinales précisées;Entérite à rotavirus;;6;9;9;9999;9999;9;N;J;
67;4;T;X;1;A00;A08.1;A08.1;A081;Gastroentérite aiguë à norovirus;Infections virales intestinales et autres infections intestinales précisées;Gastroentérite aiguë à norovirus;;6;9;9;9999;9999;9;N;J;
68;4;T;X;1;A00;A08.2;A08.2;A082;Entérite à adénovirus;Infections virales intestinales et autres infections intestinales précisées;Entérite à adénovirus;;6;9;9;9999;9999;9;N;J;
69;4;T;X;1;A00;A08.3;A08.3;A083;Autres entérites virales;Infections virales intestinales et autres infections intestinales précisées;Autres entérites virales;;6;9;9;9999;9999;9;N;J;
70;4;T;X;1;A00;A08.4;A08.4;A084;Infections intestinales virales, sans précision;Infections virales intestinales et autres infections intestinales précisées;Infections intestinales virales, sans précision;;6;9;9;9999;9999;9;N;J;
71;4;T;X;1;A00;A08.5;A08.5;A085;Autres infections intestinales précisées;Infections virales intestinales et autres infections intestinales précisées;Autres infections intestinales précisées;;6;9;9;9999;9999;9;N;J;
72;3;N;X;1;A00;A09.-;A09;A09;Gastroentérites et colites autres et non précisées d’origine infectieuse et non précisée;Gastroentérites et colites autres et non précisées d’origine infectieuse et non précisée;;;5;9;9;9999;9999;9;N;J;
73;4;T;X;1;A00;A09.0;A09.0;A090;Gastroentérites et colites autres et non précisées d’origine infectieuse;Gastroentérites et colites autres et non précisées d’origine infectieuse et non précisée;Gastroentérites et colites autres et non précisées d’origine infectieuse;;5;9;9;9999;9999;9;N;J;
74;4;T;X;1;A00;A09.9;A09.9;A099;Gastroentérites et colites autres et non précisées d’origine non précisée;Gastroentérites et colites autres et non précisées d’origine infectieuse et non précisée;Gastroentérites et colites autres et non précisées d’origine non précisée;;5;9;9;9999;9999;9;N;J;
75;3;N;X;1;A15;A15.-;A15;A15;Tuberculose de l’appareil respiratoire, avec confirmation bactériologique, par biologie moléculaire ou histologique;Tuberculose de l’appareil respiratoire, avec confirmation bactériologique, par biologie moléculaire ou histologique;;;7;9;9;9999;9999;9;N;J;
76;4;T;X;1;A15;A15.0;A15.0;A150;Tuberculose pulmonaire, confirmée par examen microscopique de l’expectoration, avec ou sans culture ou par procédé de biologie moléculaire;Tuberculose de l’appareil respiratoire, avec confirmation bactériologique, par biologie moléculaire ou histologique;Tuberculose pulmonaire, confirmée par examen microscopique de l’expectoration, avec ou sans culture ou par procédé de biologie moléculaire;;7;9;9;9999;9999;9;N;J;
77;4;T;X;1;A15;A15.1;A15.1;A151;Tuberculose pulmonaire, confirmée par culture seulement;Tuberculose de l’appareil respiratoire, avec confirmation bactériologique, par biologie moléculaire ou histologique;Tuberculose pulmonaire, confirmée par culture seulement;;7;9;9;9999;9999;9;N;J;
78;4;T;X;1;A15;A15.2;A15.2;A152;Tuberculose pulmonaire, avec confirmation histologique;Tuberculose de l’appareil respiratoire, avec confirmation bactériologique, par biologie moléculaire ou histologique;Tuberculose pulmonaire, avec confirmation histologique;;7;9;9;9999;9999;9;N;J;
79;4;T;X;1;A15;A15.3;A15.3;A153;Tuberculose pulmonaire, avec confirmation, moyen autre et non précisé;Tuberculose de l’appareil respiratoire, avec confirmation bactériologique, par biologie moléculaire ou histologique;Tuberculose pulmonaire, avec confirmation, moyen autre et non précisé;;7;9;9;9999;9999;9;N;J;
80;4;T;X;1;A15;A15.4;A15.4;A154;Tuberculose des ganglions intrathoraciques, avec confirmation bactériologique, par biologie moléculaire ou histologique;Tuberculose de l’appareil respiratoire, avec confirmation bactériologique, par biologie moléculaire ou histologique;Tuberculose des ganglions intrathoraciques, avec confirmation bactériologique, par biologie moléculaire ou histologique;;7;9;9;9999;9999;9;N;J;
